,City,Median_Home_Price,Latitude,Longitude
252,San Miguel,411371.0,35.754959,-120.69322707884933
253,Palo Cedro,410058.0,40.548524,-122.23278783212996
254,Piru,409060.0,34.4156137,-118.7927456
255,Hickman,408128.0,37.625515,-120.75613177470953
256,Santa Maria,407689.0,34.9531295,-120.4358577
257,Rough and Ready,407293.0,39.2295981,-121.138682
258,Grass Valley,405886.0,39.2086655,-121.05312307741224
259,Florence-Graham,405627.0,33.9700896,-118.2449937
260,Colfax,401718.0,39.1007902,-120.9532947
261,Palm Springs,400958.0,33.8246269,-116.540303
262,Capay,400320.0,38.7076812,-122.0480266
263,Ballico,400211.0,37.4543809,-120.7060337
264,Woodland,400059.0,38.6786109,-121.7733285
265,Mountain Center,399411.0,33.7047975,-116.7252925
266,Penn Valley,398892.0,39.1948165,-121.19264637070282
267,Millville,398098.0,40.557466500000004,-122.17667884577551
268,Galt,396512.0,38.3012325,-121.33103724662058
269,Oakdale,395878.0,37.787351349999994,-120.81972543130206
270,Foresthill,395055.0,39.0019935,-120.82540181422367
271,Prather,394900.0,37.0374497,-119.5140236
272,Rubidoux,391761.0,33.994015000000005,-117.42374068452926
273,Chico,391717.0,39.7284945,-121.8374777
274,Copperopolis,390962.0,37.941764,-120.63679473786408
275,Boonville,390730.0,39.0091667,-123.3661111
