,City,Median_Home_Price,Latitude,Longitude,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
159,Santa Paula,483729.0,34.3541659,-119.0592705,15,20,5,112,14,63,91,18,136,54
160,Auburn,482294.0,38.8945939,-121.0739897,15,9,1,83,21,66,53,11,111,44
161,Durham,478141.0,39.627436349999996,-121.80443748086391,21,85,2,128,39,98,130,37,206,47
162,Baldwin Park,477310.0,34.0854739,-117.9611761,74,152,9,234,121,216,261,49,185,141
163,Commerce,474700.0,34.002581,-118.156586,150,187,23,244,244,166,189,113,124,131
164,Bell Gardens,474496.0,33.9694561,-118.1503953,175,196,18,244,239,199,265,120,194,171
165,Fillmore,473116.0,34.38395800000001,-118.93659550000001,8,36,4,61,4,49,71,5,142,30
166,Dulzura,473028.0,32.6442247,-116.7814093,1,3,1,21,4,37,17,3,11,7
167,Rodeo,472641.0,38.0339842,-122.2676656,52,27,6,218,51,167,166,29,192,110
168,South Gate,471213.0,33.9463456,-118.200981,167,202,25,243,240,174,233,128,174,165
169,Lotus,470903.0,38.801568,-120.9085501,11,4,0,82,13,48,65,3,98,23
170,Bell,470214.0,33.9747806,-118.1866361,168,179,22,244,242,153,212,123,148,136
171,Oceano,468962.0,35.0988648,-120.6123931,12,4,3,100,31,120,124,7,169,101
172,South San Jose Hills,468054.0,34.0148215,-117.91569982685415,82,190,12,232,128,215,253,62,199,126
173,Hawaiian Gardens,465949.0,33.8284787,-118.0743137,164,170,36,235,233,239,290,87,214,216
174,Mammoth Lakes,465034.0,37.6432525,-118.9668509,19,4,0,50,22,122,48,18,90,57
175,Duncans Mills,464478.0,38.453803,-123.0550013,3,2,2,87,12,81,49,0,89,47
176,Lynwood,463681.0,33.924831,-118.2024154,157,174,24,239,239,154,224,123,176,153
177,Santa Ysabel,462738.0,33.1092099,-116.6730763,3,2,0,26,11,42,35,0,53,11
178,Fairfield,462569.0,38.2493581,-122.0399663,24,31,5,145,33,93,178,32,239,78
179,El Dorado,461267.0,38.7574137,-120.5276129,3,0,1,18,6,28,26,1,39,7
180,Huntington Park,461123.0,33.9827043,-118.2120343,158,180,28,244,245,161,224,142,146,156
181,Vacaville,460949.0,38.3565773,-121.9877444,20,13,3,134,32,94,180,32,233,77
182,Cudahy,460213.0,33.9620584,-118.1835395,183,193,20,245,239,193,240,132,199,133
183,Fair Oaks,459357.0,38.642897000000005,-121.24624532104002,67,70,8,241,95,203,203,62,190,195
184,Friant,459073.0,36.983858,-119.71346236018485,9,14,2,51,12,62,48,12,59,17
185,Bradley,458832.0,35.8628636,-120.8037593106835,5,2,0,13,4,3,23,0,6,4
186,Elk Grove,457100.0,38.4087993,-121.3716178,22,36,2,137,24,129,171,53,187,129
187,Winchester,455025.0,33.719382249999995,-117.06328473837351,15,43,4,180,14,80,144,36,208,64
188,San Pablo,454539.0,37.9621457,-122.3455263,83,198,3,248,81,118,46,44,162,95
189,Maywood,454278.0,33.9866807,-118.185349,164,181,23,243,244,155,201,117,124,140
190,Manchester,454037.0,38.9701853,-123.6880732,4,1,0,7,3,10,3,0,6,2
191,National City,453179.0,32.6781085,-117.0991967,216,186,13,248,249,207,261,155,224,218
192,Winters,452547.0,38.5249065,-121.9708017,4,8,0,45,13,46,54,3,121,21
193,Paramount,451699.0,33.898917,-118.171005,84,168,19,235,188,166,198,51,164,138
194,Montclair,450666.0,34.0775104,-117.6897776,74,204,11,230,99,214,264,72,223,165
195,Applegate,450294.0,39.0007303,-120.9924431,10,7,1,113,18,70,116,11,170,51
196,Wallace,449746.0,38.196219,-120.95905148135108,3,0,0,18,2,9,21,0,47,5
197,Murrieta,448984.0,33.560832,-117.2106564,66,74,9,242,75,164,220,56,230,111
198,South Lake Tahoe,447833.0,38.9332411,-119.9843482,19,8,1,137,56,173,109,10,201,125
199,Pomona,446938.0,34.0553813,-117.7517496,70,204,13,231,102,204,267,54,167,130
200,Ontario,446549.0,34.065846,-117.6484304,74,174,11,235,108,220,270,78,226,166
201,Dixon,446467.0,38.4454641,-121.8232958,27,183,3,132,39,105,143,58,191,68
202,Clio,446233.0,39.7495505,-120.56507863621441,5,2,0,21,7,14,11,2,17,5
203,Nevada City,446057.0,39.2615606,-121.0160594,16,8,4,78,15,52,104,5,167,24
204,La Quinta,445957.0,33.66365425,-116.27770251129584,50,60,5,172,38,155,186,35,212,110
205,Willowbrook,445550.0,33.9187863,-118.2343933,135,157,25,239,240,136,234,115,143,174
206,Browns Valley,444822.0,39.2421139,-121.4091297,3,2,0,8,6,11,5,1,20,4
207,Elk,444703.0,39.1295408,-123.7158889,0,1,0,8,5,7,5,0,10,8
208,Monte Rio,444427.0,38.466359,-123.01964563931804,4,1,2,92,12,65,48,0,68,47
209,Keene,444364.0,35.2235728,-118.5623117,14,4,1,43,7,24,59,3,92,10
210,Woodbridge,443952.0,38.1540849,-121.301337,15,19,3,125,19,76,123,18,142,46
211,Guerneville,443529.0,38.5017085,-122.9959133,4,2,1,73,11,60,59,0,64,43
212,Chualar,443464.0,36.5714655,-121.51240155264804,0,2,0,37,11,15,66,3,66,14
213,Descanso,441511.0,32.8528287,-116.6158525,6,3,1,41,5,45,55,1,113,6
214,Canyon Lake,441157.0,33.6836539,-117.2626151,16,39,5,170,25,112,172,41,208,52
215,Lathrop,440426.0,37.8227046,-121.27661,19,30,3,142,15,81,130,14,147,93
216,Bass Lake,438267.0,37.3246665,-119.5662539,4,4,0,34,8,25,60,3,83,30
217,Petrolia,437515.0,40.3254048,-124.2869876,0,0,0,1,0,7,0,0,1,1
218,Antioch,436327.0,38.0049214,-121.805789,32,30,4,137,18,124,166,23,218,61
219,Shaver Lake,433450.0,37.09684,-119.32025832557329,4,4,0,11,3,4,8,1,7,6
220,Hydesville,433332.0,40.561642,-124.07958847441185,16,0,1,33,4,19,52,1,74,11
221,Compton,432182.0,33.894927,-118.226624,109,169,21,236,214,165,196,70,181,113
222,Gualala,430906.0,38.7674439,-123.5298281,6,1,0,15,2,15,9,2,11,7
223,Port Hueneme,429985.0,34.1477829,-119.1951074,38,83,1,164,39,136,180,54,214,120
224,Pedley,429757.0,33.9832902,-117.47091739000949,73,129,10,236,89,178,219,67,202,158
225,Mather,429753.0,38.5671956,-121.2986974,69,120,4,248,101,184,219,54,192,191
226,Walnut Grove,428537.0,38.250307500000005,-121.50477362611842,1,0,0,15,8,20,12,1,26,7
227,Loma Linda,427498.0,34.075626,-117.25204775,67,141,5,234,72,138,210,51,196,136
